날짜,시간,타입,대분류,소분류,내용,금액,화폐,결제수단,메모
2023-02-11,12:39,지출,생활,미분류,지에스더프레시미사점,-8790,KRW,신한은행 The More,
2023-02-11,12:39,지출,생활,미분류,지에스 더 프레시 미사점,-21820,KRW,모두의 쇼핑,
2023-02-11,09:52,지출,카페/간식,미분류,스타벅스_사이렌오더,-5000,KRW,LOCA 롯데카드,
2023-02-10,22:07,지출,생활,미분류,GS25 봉천 낙성점,-11000,KRW,신한은행 The More,
2023-02-10,21:55,지출,카페/간식,미분류,Apple,-9900,KRW,신한은행 The More,
2023-02-10,21:27,지출,식사,미분류,BKR버거킹사당역점,-1800,KRW,LOCA 롯데카드,
2023-02-10,11:51,지출,카페/간식,미분류,(주)케이지이니시스,-5500,KRW,신한은행 The More,
2023-02-10,11:10,지출,카페/간식,미분류,주식회사 에스씨케이컴퍼니,-5500,KRW,신한은행 The More,
2023-02-10,11:05,지출,카페/간식,미분류,스타벅스_사이렌오더,-22600,KRW,LOCA 롯데카드,
2023-02-10,08:26,지출,식사,미분류,NICE결제대행,-5900,KRW,신한은행 The More,
2023-02-09,20:49,지출,생활,미분류,씨유(CU)마곡센트럴점,-11000,KRW,LOCA 롯데카드,
2023-02-09,19:21,지출,생활,미분류,(주)다이소아성산업,-4000,KRW,모두의 쇼핑,
2023-02-09,19:17,지출,생활,미분류,(주)다이소아성산업,-4000,KRW,모두의 쇼핑,
2023-02-09,15:01,지출,교육,미분류,선물하기_카카오페이,-9800,KRW,신한은행 The More,
2023-02-09,08:40,지출,식사,미분류,NICE결제대행,-5900,KRW,신한은행 The More,
2023-02-08,08:31,지출,식사,미분류,NICE결제대행,-5900,KRW,신한은행 The More,
2023-02-08,08:20,지출,경조사,미분류,지마켓,-459570,KRW,LOCA 롯데카드,
2023-02-07,19:37,지출,식사,미분류,시래마루 강동점,-16000,KRW,모두의 쇼핑,
2023-02-07,08:30,지출,식사,미분류,NICE결제대행,-5900,KRW,신한은행 The More,
2023-02-06,08:37,지출,식사,미분류,NICE결제대행,-5700,KRW,신한은행 The More,
2023-02-04,21:10,지출,생활,미분류,(주)이마트에브리데이 마곡나루점,-5940,KRW,신한은행 The More,
2023-02-04,21:09,지출,생활,미분류,(주)이마트에브리데이 마곡나루점,-5980,KRW,신한은행 The More,
2023-02-04,14:09,지출,의복/미용,미분류,(주)현대백화점천호점,-42000,KRW,신한은행 The More,
2023-02-04,14:01,지출,의복/미용,미분류,(주)현대백화점천호점,-9200,KRW,신한은행 The More,
2023-02-04,10:36,지출,카페/간식,미분류,스타벅스코리아,-5000,KRW,모두의 쇼핑,
2023-02-04,10:33,지출,카페/간식,미분류,주식회사 쟝블랑제리,-17700,KRW,신한은행 The More,
2023-02-04,10:25,지출,생활,미분류,지에스더프레시미사점,-27990,KRW,신한은행 The More,
2023-02-03,23:46,지출,생활,미분류,씨유(CU) 행운야베스점,-12700,KRW,신한은행 The More,
2023-02-03,22:47,지출,생활,미분류,지에스 더 프레시 미사점,-29070,KRW,모두의 쇼핑,
2023-02-03,19:31,지출,의료/건강,미분류,미즈컨테이너강남웨스트(주)에스,-46300,KRW,모두의 쇼핑,
2023-02-03,18:29,지출,카페/간식,미분류,스타벅스코리아,-3300,KRW,모두의 쇼핑,
2023-02-03,09:48,지출,식사,미분류,네이버페이,-24137,KRW,신한은행 The More,
2023-02-03,08:39,지출,식사,미분류,NICE결제대행,-900,KRW,신한은행 The More,
2023-02-03,08:31,지출,식사,미분류,NICE결제대행,-5900,KRW,신한은행 The More,
2023-02-02,08:41,지출,식사,미분류,NICE결제대행,-5900,KRW,신한은행 The More,
2023-02-01,18:05,지출,생활,미분류,(주)이마트에브리데이 남부터미널점,-13980,KRW,신한은행 The More,
2023-02-01,18:04,지출,문화/여가,미분류,KCP-알라딘커뮤니케이션,-19,KRW,KT BIGPOT Plus(빅팟 플러스) 카드,
2023-02-01,18:02,지출,문화/여가,미분류,문화비(알라딘)_KCP,-149,KRW,KT BIGPOT Plus(빅팟 플러스) 카드,
2023-02-01,08:37,지출,식사,미분류,NICE_통신판매,-1100,KRW,LOCA 롯데카드,
2023-02-01,08:36,지출,식사,미분류,NICE결제대행,-5900,KRW,신한은행 The More,
2023-01-31,08:35,지출,식사,미분류,NICE_통신판매,-2700,KRW,LOCA 롯데카드,
2023-01-31,07:41,지출,식사,미분류,네이버페이,-12870,KRW,신한은행 The More,
2023-01-30,22:12,지출,생활,미분류,씨유(CU)마곡센트럴점,-7500,KRW,신한은행 The More,
2023-01-30,21:45,지출,식사,미분류,쿠팡(주),-35950,KRW,신한은행 The More,
2023-01-30,21:14,지출,미분류,미분류,대표_네이버페이_1,-34870,KRW,신한은행 The More,
2023-01-30,13:36,지출,카페/간식,미분류,고품격커피공장(서일점),-3800,KRW,모두의 쇼핑,
2023-01-30,08:41,지출,식사,미분류,NICE_통신판매,-2700,KRW,LOCA 롯데카드,
2023-01-29,22:23,지출,미분류,미분류,(주)우아한형제들_TOSS,-22500,KRW,모두의 쇼핑,
2023-01-28,22:56,지출,카페/간식,미분류,빵꾸똥꾸야 마곡나루점,-2200,KRW,모두의 쇼핑,
2023-01-28,22:53,지출,생활,미분류,(주)이마트에브리데이마곡나루점,-3000,KRW,모두의 쇼핑,
2023-01-28,20:57,지출,카페/간식,미분류,놀숲서울대입구점,-55700,KRW,LOCA 롯데카드,
2023-01-28,14:46,지출,카페/간식,미분류,듀레스트,-8000,KRW,모두의 쇼핑,
2023-01-28,14:36,지출,식사,미분류,시골집,-28000,KRW,LOCA 롯데카드,
2023-01-28,11:07,지출,카페/간식,미분류,커피나무 미사역점,-4300,KRW,LOCA 롯데카드,
